unit,supplier,trade_name,value,date,category,establishment
Fortaleza,CL9 TECNOLOGIAS LTDA,CL9 TECNOLOGIAS LTDA,190.0,01/05/2026,servicos,- FORTALEZA
Cocalinho,LTDA -,,2000.0,01/05/2026,outros,LTDA - COCALINHO
Fortaleza,AZUL LINHAS AEREAS BRASILEIRAS,AZUL LINHAS AEREAS BRASILEIRAS,993.27,01/05/2026,transporte,- FORTALEZA
Cocalinho,LTDA -,AUTO POSTO KARAJAS,430.57,01/05/2026,combustivel,LTDA - COCALINHO
Não identificada,MABELY,MABELY,449.0,01/05/2026,outros,
Luís Gomes,RENOVOLTDA -,PADARIA RENOVO,104.0,01/05/2026,alimentos,RENOVOLTDA - LUIS GOMES
Luís Gomes,OVOS          LTDA -,UNA OVOS,570.0,01/05/2026,alimentos,OVOS          LTDA - LUIS GOMES
Não identificada,INDUSTRIA E COMERCIO DE DOCES VALE VERDE,INDUSTRIA E COMERCIO DE DOCES VALE VERDE,1578.43,01/05/2026,outros,
Maranguape,SUPERMERCADO NIDOBOX,SUPERMERCADO NIDOBOX,33.99,01/05/2026,alimentos,- MARANGUAPE
Maranguape,LTDA -,VAREJAO DA CONSTRUÇAO,9.0,01/05/2026,alimentos,LTDA - MARANGUAPE
Não identificada,SANTOS,WMA HORTALIÇAS,2823.5,01/05/2026,alimentos,SANTOS
Maranguape,LTDA - ATACADO E VAREJO,TR ALIMENTOS DISTRIBUIDORA ATACADO E VAR,1800.0,01/05/2026,alimentos,LTDA - MARANGUAPEATACADO E VAREJO
Maranguape,LTDA -,VAREJAO DA CONSTRUÇAO,90.0,01/05/2026,alimentos,LTDA - MARANGUAPE
Não identificada,EMBALAGENS LTDA,EFICAZ ATACADO DA LIMPEZA E EMBALAGENS L,1131.09,01/05/2026,alimentos,EMBALAGENS LTDA
Não identificada,CAMPOLTDAGRANDE,H C INDUSTRIA DE ALIMENTOS LTDA,1229.69,01/05/2026,alimentos,- CAMPOLTDAGRANDE
Cocalinho,LTDA -,,1707.1,01/05/2026,outros,LTDA - COCALINHO
Cocalinho,LTDA -,,674.11,01/05/2026,outros,LTDA - COCALINHO
Maranguape,PANIFICADORA SANTA TEREZINHA,PANIFICADORA SANTA TEREZINHA,156.0,01/05/2026,alimentos,MARANGUAPE
Não identificada,LTDA,EDUARDO WOLPP VIEIRA LTDA,1392.97,01/05/2026,pessoa_fisica,LTDA
Cocalinho,LTDA -,jose eduardo Da costa,4500.0,01/05/2026,pessoa_fisica,LTDA - COCALINHO
Cocalinho,DE BORBA  LTDA -,,4000.0,01/05/2026,outros,DE BORBA  LTDA - COCALINHO
Não identificada,LTDA,SUPERGASBRAS ENERGIA LTDA,7695.0,01/05/2026,energia,LTDA
Cocalinho,SAO LUIZ LTDA -,MEGA SAO LUIZ,312.05,01/05/2026,alimentos,SAO LUIZ LTDA - COCALINHO
Não identificada,R. DIAS LEITE COMERCIO,SUPERMERCADO VITORIA R. DIAS LEITE COMER,98.97,01/05/2026,alimentos,R. DIAS LEITE COMERCIO
Cocalinho,LTDA -,TIAGO DA MATA COUTINHO,150.0,01/05/2026,outros,LTDA - COCALINHO
Cocalinho,LTDA -,TIAGO DA MATA COUTINHO,150.0,01/05/2026,outros,LTDA - COCALINHO
Não identificada,NORDESTE,CHURASCARIA SABOR DO NORDESTE,26.0,01/05/2026,outros,NORDESTE
Não identificada,NORDESTE,CHURASCARIA SABOR DO NORDESTE,26.0,01/05/2026,outros,NORDESTE
Campo Grande,NET      LTDA -,DIGITAL NET,209.9,01/05/2026,servicos,NET      LTDA - CAMPO GRANDE
Não identificada,GRANDE,BORRACHARIA E LAVA JATO ESMERALDA,200.0,01/05/2026,servicos,GRANDE
Campo Grande,EMBALAGENS  LTDA -,ELITE EMBALAGENS,280.38,01/05/2026,alimentos,EMBALAGENS  LTDA - CAMPO GRANDE
Ipaumirim,AUTO POSTO BOM PREÇO,AUTO POSTO BOM PREÇO,329.15,01/05/2026,combustivel,- IPAUMIRIM
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,200.0,01/05/2026,combustivel,LTDA GRANDE
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,200.0,01/05/2026,combustivel,LTDA GRANDE
Campo Grande,CAR -SA,LOCALIZA,4410.4,01/05/2026,transporte,CAR -SACAMPO GRANDE
Luís Gomes,CAR -SA,LOCALIZA,4109.62,01/05/2026,transporte,CAR -SALUIS GOMES
Luís Gomes,CAR -SA,LOCALIZA,4109.62,01/05/2026,transporte,CAR -SALUIS GOMES
Luís Gomes,CAR -SA,LOCALIZA,4109.62,01/05/2026,transporte,CAR -SALUIS GOMES
Cocalinho,TECH LTDA -,GASTRO TECH,75.0,02/05/2026,energia,TECH LTDA - COCALINHO
Não identificada,COMERCIO VAREJISTA,SUPERMECADO AVENIDA COMERCIO VAREJISTA,9594.1,02/05/2026,alimentos,COMERCIO VAREJISTA
Cocalinho,LTDA -,AUTO POSTO KARAJAS,299.62,02/05/2026,combustivel,LTDA - COCALINHO
Cocalinho,INDUSTRIAL LTDA -,JB CARNES,19494.13,02/05/2026,alimentos,INDUSTRIAL LTDA - COCALINHO
Cocalinho,SAO LUIZ LTDA -,MEGA SAO LUIZ,1583.26,02/05/2026,alimentos,SAO LUIZ LTDA - COCALINHO
Não identificada,GRANDE,ESTANCIA JOIA COMERCIO DE HORTIFRUT,3109.31,02/05/2026,alimentos,GRANDE
Não identificada,CERTO LTDA,SUPER MERCADO COMPRE CERTO LTDA,17.04,02/05/2026,outros,CERTO LTDA
Fortaleza,LTDA -,BODEGAO ATACAREJO,3694.1,02/05/2026,alimentos,LTDA - FORTALEZA
Maranguape,CAROA INDUSTRIAL LTDA -,CAROA,826.5,02/05/2026,outros,CAROA INDUSTRIAL LTDA - MARANGUAPE
Maranguape,LTDA.,J. E. COMERCIO DE EMBALAGENS LTDA.,119.37,02/05/2026,alimentos,- MARANGUAPELTDA.
Maranguape,PANIFICADORA SANTA TEREZINHA,PANIFICADORA SANTA TEREZINHA,156.0,02/05/2026,alimentos,MARANGUAPE
Cocalinho,LTDA -,,2020.15,02/05/2026,outros,LTDA - COCALINHO
Não identificada,SANTOS,WMA HORTALIÇAS,2840.0,02/05/2026,alimentos,SANTOS
Luís Gomes,RONICLEI MARTINS DUARTE,RONICLEI MARTINS DUARTE,1254.0,02/05/2026,pessoa_fisica,- LUIS GOMES
Ipaumirim,AUTO POSTO BOM PREÇO,AUTO POSTO BOM PREÇO,281.77,02/05/2026,combustivel,- IPAUMIRIM
Não identificada,DE CONSTRUÇÃO LTDA,DIMACOL ( DIJALMA MATERIAS DE CONSTRUÇÃO,20.0,02/05/2026,outros,DE CONSTRUÇÃO LTDA
Luís Gomes,ZARUR LTDA -,POSTO ZARUR,100.0,02/05/2026,combustivel,ZARUR LTDA - LUIS GOMES
Maranguape,PROGRESSO LTDA -,POSTO PROGRESSO,115.0,02/05/2026,combustivel,PROGRESSO LTDA - MARANGUAPE
Maranguape,LTDA -,VAREJAO DA CONSTRUÇAO,16.0,02/05/2026,alimentos,LTDA - MARANGUAPE
Não identificada,CERTO LTDA,SUPER MERCADO COMPRE CERTO LTDA,140.02,02/05/2026,outros,CERTO LTDA
Não identificada,DOS SANTOS,FRANCISCO ANTONIO PEREIRA DOS SANTOS,760.0,02/05/2026,pessoa_fisica,DOS SANTOS
Maranguape,BRASIL LTDA -,POSTO BRASIL,261.1,02/05/2026,combustivel,BRASIL LTDA - MARANGUAPE
Não identificada,DE CONSTRUÇÃO LTDA,DIMACOL ( DIJALMA MATERIAS DE CONSTRUÇÃO,20.0,02/05/2026,outros,DE CONSTRUÇÃO LTDA
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,200.0,02/05/2026,combustivel,LTDA GRANDE
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,200.0,02/05/2026,combustivel,LTDA GRANDE
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,200.0,02/05/2026,combustivel,LTDA GRANDE
Cocalinho,LTDA -,DOC. FISCAL PEDAGIO,20.0,02/05/2026,servicos,LTDA - COCALINHO
Fortaleza,LTDA -,EXPRESSO GUANABARA,205.72,03/05/2026,transporte,LTDA - FORTALEZA
Fortaleza,LTDA -,EXPRESSO GUANABARA,86.39,03/05/2026,transporte,LTDA - FORTALEZA
Cocalinho,LTDA -,AUTO POSTO KARAJAS,463.05,03/05/2026,combustivel,LTDA - COCALINHO
Fortaleza,MARINA LTDA -,POSTO MARINA,514.48,03/05/2026,combustivel,MARINA LTDA - FORTALEZA
Cocalinho,PANIFICADORA PAO GOSTOSO,PANIFICADORA PAO GOSTOSO,1600.0,03/05/2026,alimentos,- COCALINHO
Não identificada,DE ALIMENTOS SA,NOVO ATACADO COMERCIO DE ALIMENTOS SA,239.84,03/05/2026,alimentos,DE ALIMENTOS SA
Luís Gomes,ZARUR LTDA -,POSTO ZARUR,242.01,03/05/2026,combustivel,ZARUR LTDA - LUIS GOMES
Luís Gomes,ZARUR LTDA -,POSTO ZARUR,250.0,03/05/2026,combustivel,ZARUR LTDA - LUIS GOMES
